test_case_id,grade,expected_result
TC-004-001,50,success
TC-004-002,-0.01,Grade must be 0 or more
TC-004-003,0,success
TC-004-004,0.01,success
TC-004-005,99.99,success
TC-004-006,100,success
TC-004-007,100.01,Grade must be 100 or less
TC-004-008,-5,Grade must be 0 or more
TC-004-009,105,Grade must be 100 or less
TC-004-010,abc,You must enter a number here
TC-004-011,!@#,You must enter a number here
TC-004-012,,success
TC-004-013,50,success
TC-004-014,50,success
TC-004-015,,success
TC-004-016,105,Grade must be 100 or less
TC-004-017,abc,You must enter a number here
